S.No,Date Created,Emirates ID,Applicant Name,Voucher ID,Created Branch,Redemption Branch,Mode of Payment,Vehicle Type,Voucher Amount (AED),Status,CSS First Name / Student Name,CSS Last Name
16,2023-09-08 03:07:48 PM,169416590198472,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230908165868,Abudhabi - 01,,Cash,Light Mech Equipment,44.0,Refund Rejected,newcss,env
17,2023-09-08 02:55:27 PM,169416516099782,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230908165127,Abudhabi - 01,,Cash,Light Vehicle,22.0,Refund Rejected,newcss,env
18,2023-09-08 02:49:53 PM,169416482704764,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230908164793,Abudhabi - 01,,Cash,Light Mech Equipment,44.0,Refund Rejected,newcss,env
19,2023-09-08 02:46:27 PM,169416462146375,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230908164587,Abudhabi - 01,,Cash,Light Mech Equipment,44.0,Refund Rejected,newcss,env
20,2023-09-08 02:40:57 PM,169416429057064,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230908164257,Abudhabi - 01,,Cash,Light Mech Equipment,44.0,Refund Rejected,newcss,env
21,2023-09-08 02:35:28 PM,169416396215792,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230908163928,Abudhabi - 01,,Cash,Light Mech Equipment,44.0,Refund Rejected,newcss,env
22,2023-09-08 02:29:36 PM,169416361013281,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230908163576,Abudhabi - 01,,Cash,Light Mech Equipment,44.0,Refund Rejected,newcss,env
23,2023-09-08 02:24:26 PM,169416329458210,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230908163266,Abudhabi - 01,,Cash,Light Mech Equipment,44.0,Refund Rejected,newcss,env
24,2023-09-08 01:41:37 PM,169416072634033,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230908160697,Abudhabi - 01,,Cash,Light Mech Equipment,44.0,Refund Rejected,newcss,env
25,2023-09-08 01:30:01 PM,169416003474065,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230908160001,Abudhabi - 01,,Cash,Light Mech Equipment,44.0,Refund Rejected,newcss,env
26,2023-09-08 01:25:12 PM,169415974566876,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230908159712,Abudhabi - 01,,Cash,Light Mech Equipment,44.0,Refund Rejected,newcss,env
27,2023-09-08 01:21:33 PM,169415952166918,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230908159493,Abudhabi - 01,,Cash,Light Mech Equipment,44.0,Refund Rejected,newcss,env
28,2023-09-08 12:30:13 PM,169415644136337,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230908156413,Abudhabi - 01,,Cash,Light Mech Equipment,44.0,Refund Rejected,newcss,env
29,2023-06-08 06:43:28 PM,431568739080754,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230608230008,Abudhabi - 01,,Online,Motor Cycle,11.11,Refund Rejected,newcss,env
30,2023-06-05 08:13:55 PM,113243456143532,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED A,230605976235,Abudhabi - 01,,Online,Heavy Vehicle,110.0,Refund Rejected,newcss,env
31,2023-04-05 04:40:50 PM,123456453421345,MOHAMMED ALI,230405693050,Abudhabi - 01,,Cash,Heavy Vehicle,110.0,Refund Rejected,newcss,env
32,2023-03-15 04:33:48 PM,345678912865763,MOHAMMED ALI,230315878228,Abudhabi - 01,,Cash,Motor Cycle,11.11,Refund Rejected,newcss,env
33,2023-03-15 04:19:14 PM,651684984561684,MOHAMMED ALI,230315877354,Abudhabi - 01,,Online,Light Mech Equipment,44.0,Refund Rejected,berlin,berlin
34,2022-11-11 11:54:02 AM,345465768796543,MOHAMMED ALI,221111147842,Abudhabi - 01,,Cash,Motor Cycle,10.1,Refund Rejected,newcss,env
35,2023-09-21 01:47:12 PM,169528420540246,ranjith,230921284232,Abudhabi - 01,,Cash,Heavy Vehicle,110.0,Refund Rejected,newcss,env
36,2023-09-21 01:42:02 PM,169528389552022,ranjith,230921283922,Abudhabi - 01,,Cash,Heavy Vehicle,110.0,Refunded,newcss,env
37,2023-09-21 01:36:50 PM,169528358491678,ranjith,230921283610,Abudhabi - 01,Abudhabi - 01,Cash,Light Mech Equipment,44.0,Reactivate Rejected,newcss,env
38,2023-09-21 01:33:02 PM,169528333982174,ranjith,230921283382,Abudhabi - 01,Abudhabi - 01,Cash,Light Vehicle,22.0,Declined,newcss,env
39,2023-09-21 01:24:31 PM,169528283202078,ranjith,230921282871,Abudhabi - 01,,Cash,Heavy Mech Equipment,66.0,Cancelled,newcss,env
40,2023-09-20 01:48:31 PM,169519787898407,ranjith,230920197911,Abudhabi - 01,,Cash,Heavy Vehicle,110.0,Refund Rejected,newcss,env
41,2023-09-20 01:42:47 PM,169519753132394,ranjith,230920197567,Abudhabi - 01,,Cash,Heavy Vehicle,110.0,Refunded,newcss,env
42,2023-09-20 01:37:12 PM,169519720662461,ranjith,230920197232,Abudhabi - 01,Abudhabi - 01,Cash,Light Mech Equipment,44.0,Reactivate Rejected,newcss,env
43,2023-09-20 01:32:56 PM,169519692239893,ranjith,230920196976,Abudhabi - 01,Abudhabi - 01,Cash,Light Vehicle,22.0,Declined,newcss,env
44,2023-09-20 01:26:03 PM,169519650379625,ranjith,230920196563,Abudhabi - 01,,Cash,Heavy Mech Equipment,66.0,Cancelled,newcss,env
45,2023-09-20 11:07:19 AM,169518821268982,ranjith,230920188239,Abudhabi - 01,,Cash,Light Mech Equipment,44.0,Created,newcss,env
46,2023-09-19 02:15:11 PM,169511312972624,ranjith,230919113111,Abudhabi - 01,Abudhabi - 01,Cash,Light Mech Equipment,44.0,Reactivated,newcss,env
47,2023-09-19 02:32:15 PM,169511411751734,ranjith,230919114135,Abudhabi - 01,,Cash,Heavy Vehicle,110.0,Refund Rejected,newcss,env
48,2023-09-19 02:27:06 PM,169511380936107,ranjith,230919113826,Abudhabi - 01,,Cash,Heavy Vehicle,110.0,Refunded,newcss,env
49,2023-09-19 02:22:07 PM,169511350999749,ranjith,230919113527,Abudhabi - 01,Abudhabi - 01,Cash,Light Mech Equipment,44.0,Reactivate Rejected,newcss,env
50,2023-09-19 02:18:26 PM,169511327525146,ranjith,230919113306,Abudhabi - 01,Abudhabi - 01,Cash,Light Vehicle,22.0,Declined,newcss,env
51,2023-09-19 02:10:54 PM,169511281859536,ranjith,230919112854,Abudhabi - 01,,Cash,Heavy Mech Equipment,66.0,Cancelled,newcss,env
52,2023-09-19 02:02:03 PM,169511228742997,ranjith,230919112323,Abudhabi - 01,,,Light Mech Equipment,44.0,Draft,newcss,env
53,2023-09-18 01:46:54 PM,169502499433928,ranjith,230918025014,Abudhabi - 01,,Cash,Light Mech Equipment,44.0,Cancelled,newcss,env
54,2023-09-18 01:56:47 PM,169502432356702,ranjith,230918025607,Abudhabi - 01,,,Heavy Vehicle,110.0,Draft,newcss,env
55,2023-09-18 01:37:20 PM,169502443616287,ranjith,230918024440,Abudhabi - 01,,Cash,Heavy Vehicle,110.0,Refund Rejected,newcss,env
56,2023-09-18 01:30:33 PM,169502402903169,ranjith,230918024033,Abudhabi - 01,Abudhabi - 01,Cash,Light Mech Equipment,44.0,Reactivate Rejected,newcss,env
57,2023-09-18 01:28:06 PM,169502387173482,ranjith,230918023886,Abudhabi - 01,,Cash,Light Vehicle,22.0,Created,newcss,env
58,2023-09-18 01:20:41 PM,169502342190916,ranjith,230918023441,Abudhabi - 01,,Cash,Heavy Mech Equipment,66.0,Cancelled,newcss,env
59,2023-09-18 11:14:41 AM,142196785639767,test,230918015881,Abudhabi - 01,,Cash,Heavy Bus,110.0,Created,newcss,env
60,2023-09-15 03:07:44 PM,169476955385300,ranjith,230915770664,Abudhabi - 01,,,Light Vehicle,22.0,Draft,newcss,env
61,2023-09-15 03:03:09 PM,169477038306180,ranjith,230915770389,Abudhabi - 01,,Cash,Heavy Vehicle,110.0,Refund Rejected,newcss,env
62,2023-09-15 02:58:11 PM,169477008609702,ranjith,230915770091,Abudhabi - 01,,Cash,Heavy Vehicle,110.0,Refunded,newcss,env
63,2023-09-15 02:53:27 PM,169476980445043,ranjith,230915769807,Abudhabi - 01,Abudhabi - 01,Cash,Light Mech Equipment,44.0,Reactivate Rejected,newcss,env
64,2023-09-15 02:46:32 PM,169476938787959,ranjith,230915769392,Abudhabi - 01,Abudhabi - 01,Cash,Light Mech Equipment,44.0,Reactivated,newcss,env
65,2023-09-15 02:43:06 PM,169476915878623,ranjith,230915769186,Abudhabi - 01,,,Light Vehicle,22.0,Draft,newcss,env
66,2023-09-15 02:39:59 PM,169476900053868,ranjith,230915768999,Abudhabi - 01,Abudhabi - 01,Cash,Light Mech Equipment,44.0,Redeemed,newcss,env
67,2023-09-15 02:26:56 PM,169476821287829,ranjith,230915768216,Abudhabi - 01,,Cash,Heavy Vehicle,110.0,Created,newcss,env
68,2023-09-15 02:17:38 PM,169476765434192,ranjith,230915767658,Abudhabi - 01,Abudhabi - 01,Cash,Light Mech Equipment,44.0,Reactivated,newcss,env
69,2023-09-15 02:20:23 PM,169476781126794,ranjith,230915767823,Abudhabi - 01,Abudhabi - 01,Cash,Light Vehicle,22.0,Declined,newcss,env
70,2023-09-15 02:06:15 PM,169476695543579,ranjith,230915766975,Abudhabi - 01,Abudhabi - 01,Cash,Light Vehicle,22.0,Declined,newcss,env
71,2023-09-15 01:57:55 PM,169476645301044,ranjith,230915766475,Abudhabi - 01,,Cash,Light Vehicle,22.0,Created,newcss,env
72,2023-09-15 01:49:45 PM,169476596484011,ranjith,230915765985,Abudhabi - 01,,Cash,Light Mech Equipment,44.0,Created,newcss,env
73,2023-09-15 01:42:41 PM,169476555549201,ranjith,230915765561,Abudhabi - 01,,Cash,Heavy Vehicle,110.0,Created,newcss,env
74,2023-09-15 01:40:33 PM,169476542934789,ranjith,230915765433,Abudhabi - 01,,Cash,Heavy Vehicle,110.0,Created,newcss,env
75,2023-09-15 01:33:09 PM,169476496681447,ranjith,230915764989,Abudhabi - 01,Abudhabi - 01,Cash,Light Vehicle,22.0,Reactivate Rejected,newcss,env
76,2023-09-15 01:30:04 PM,169476479806708,ranjith,230915764804,Abudhabi - 01,Abudhabi - 01,Cash,Light Mech Equipment,44.0,Reactivated,newcss,env
77,2023-09-15 01:25:59 PM,169476453707569,ranjith,230915764559,Abudhabi - 01,,Cash,Heavy Mech Equipment,66.0,Cancelled,newcss,env
78,2023-09-15 10:38:45 AM,169475450739641,ranjith,230915754525,Abudhabi - 01,,Cash,Light Mech Equipment,44.0,Created,newcss,env
79,2023-09-15 10:26:18 AM,169475376406914,ranjith,230915753778,Abudhabi - 01,,Cash,Light Mech Equipment,44.0,Created,newcss,env
80,2023-09-15 10:07:41 AM,169475263936749,ranjith,230915752661,Abudhabi - 01,,Cash,Light Mech Equipment,44.0,Created,newcss,env
81,2023-09-14 06:50:40 PM,123567865432345,gyigouhducdc,230914697640,Abudhabi - 01,,Cash,Motor Cycle,11.11,Created,newcss,env
82,2023-09-12 12:58:19 PM,169450369292674,ranjith,230912503699,Abudhabi - 01,,Cash,Heavy Vehicle,110.0,Refunded,newcss,env
83,2023-09-12 12:50:11 PM,169450320729732,ranjith,230912503211,Abudhabi - 01,Abudhabi - 01,Cash,Light Mech Equipment,44.0,Reactivate Rejected,newcss,env
84,2023-09-12 12:46:51 PM,169450298947251,ranjith,230912503011,Abudhabi - 01,,Cash,Heavy Mech Equipment,66.0,Created,newcss,env
85,2023-09-12 11:06:39 AM,123456787654321,ranjith,230912496999,Abudhabi - 01,,Cash,Heavy Bus,110.0,Created,newcss,env
86,2023-09-05 11:08:15 AM,169389232775084,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230905892295,Abudhabi - 01,,Cash,Light Bus,33.0,Cancelled,newcss,env
87,2023-09-08 05:49:27 PM,169417560166239,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230908175567,Abudhabi - 01,,Cash,Heavy Vehicle,110.0,Refund Rejected,newcss,env
88,2023-09-08 05:45:24 PM,169417535777207,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230908175324,Abudhabi - 01,,Cash,Heavy Vehicle,110.0,Refunded,newcss,env
89,2023-09-08 05:38:58 PM,169417497186678,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230908174938,Abudhabi - 01,Abudhabi - 01,Cash,Light Mech Equipment,44.0,Reactivate Rejected,newcss,env
90,2023-09-08 05:37:14 PM,169417486224836,MOHAMMED ALI,230908174834,Abudhabi - 01,,Cash,Heavy Mech Equipment,66.0,Created,newcss,env
91,2023-09-08 05:18:39 PM,169417375319558,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230908173719,Abudhabi - 01,,Cash,Heavy Vehicle,110.0,Refund Rejected,newcss,env
92,2023-09-08 05:14:08 PM,169417348185268,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230908173448,Abudhabi - 01,,Cash,Heavy Vehicle,110.0,Refunded,newcss,env
93,2023-09-08 05:10:24 PM,169417325833273,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230908173224,Abudhabi - 01,,Cash,Light Vehicle,22.0,Created,newcss,env
94,2023-09-08 05:08:06 PM,169417311496756,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230908173086,Abudhabi - 01,,Cash,Heavy Vehicle,110.0,Created,newcss,env
95,2023-09-08 05:01:46 PM,169417274034310,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230908172706,Abudhabi - 01,,Cash,Heavy Vehicle,110.0,Created,newcss,env
96,2023-09-08 04:59:44 PM,169417261184402,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230908172584,Abudhabi - 01,,Cash,Heavy Vehicle,110.0,Created,newcss,env
97,2023-09-08 03:56:18 PM,169416881233232,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230908168778,Abudhabi - 01,,Cash,Heavy Vehicle,110.0,Refund Rejected,newcss,env
98,2023-09-08 03:44:42 PM,169416811006880,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230908168082,Abudhabi - 01,,Cash,Light Mech Equipment,44.0,Refunded,newcss,env
99,2023-09-08 03:34:18 PM,169416748549884,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230908167458,Abudhabi - 01,,Cash,Light Mech Equipment,44.0,Refunded,newcss,env
100,2023-09-08 03:13:30 PM,169416624403070,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230908166210,Abudhabi - 01,,Cash,Light Mech Equipment,44.0,Refunded,newcss,env
101,2023-09-08 03:00:57 PM,169416549052630,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230908165457,Abudhabi - 01,,Cash,Light Vehicle,22.0,Created,newcss,env
102,2023-09-08 12:34:05 PM,169415667903022,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230908156645,Abudhabi - 01,,Cash,Light Mech Equipment,44.0,Refund Approved,newcss,env
103,2023-09-08 12:10:36 PM,169415527021718,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230908155236,Abudhabi - 01,,Cash,Light Mech Equipment,44.0,Created,newcss,env
104,2023-09-08 12:07:13 PM,169415506177882,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230908155033,Abudhabi - 01,,Cash,Light Mech Equipment,44.0,Created,newcss,env
105,2023-09-08 11:47:16 AM,169415386502711,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230908153836,Abudhabi - 01,,Cash,Light Mech Equipment,44.0,Created,newcss,env
106,2023-09-08 11:28:27 AM,169415274126065,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230908152707,Abudhabi - 01,,Cash,Light Mech Equipment,44.0,Created,newcss,env
107,2023-09-08 11:26:07 AM,169415260089884,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230908152567,Abudhabi - 01,,Cash,Light Vehicle,22.0,Created,newcss,env
108,2023-09-08 11:22:19 AM,169415237290095,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230908152339,Abudhabi - 01,,Cash,Light Mech Equipment,44.0,Created,newcss,env
109,2023-09-08 10:18:56 AM,169414857010380,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230908148536,Abudhabi - 01,Abudhabi - 01,Cash,Light Mech Equipment,44.0,Reactivate Rejected,newcss,env
110,2023-09-08 10:17:32 AM,169414848598008,MOHAMMED ALI,230908148452,Abudhabi - 01,,Cash,Heavy Mech Equipment,66.0,Cancelled,newcss,env
111,2023-09-08 10:08:07 AM,169414792441210,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230908147887,Abudhabi - 01,Abudhabi - 01,Cash,Light Mech Equipment,44.0,Reactivate Rejected,newcss,env
112,2023-09-07 02:08:48 PM,169407595770712,MOHAMMED ALI,230907075928,Abudhabi - 01,,Cash,Heavy Mech Equipment,66.0,Cancelled,newcss,env
113,2023-09-07 06:12:30 PM,169409058595583,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230907090550,Abudhabi - 01,Abudhabi - 01,Cash,Light Mech Equipment,44.0,Reactivate Rejected,newcss,env
114,2023-09-07 06:10:37 PM,169409047307142,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230907090437,Abudhabi - 01,Abudhabi - 01,Cash,Light Mech Equipment,44.0,Redeemed,newcss,env
115,2023-09-07 06:08:40 PM,169409034784106,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230907090320,Abudhabi - 01,Abudhabi - 01,Cash,Light Mech Equipment,44.0,Redeemed,newcss,env
116,2023-09-07 04:29:19 PM,169408439562699,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230907084359,Abudhabi - 01,Abudhabi - 01,Cash,Light Mech Equipment,44.0,Reactivate Rejected,newcss,env
117,2023-09-07 04:27:28 PM,169408428441424,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230907084248,Abudhabi - 01,Abudhabi - 01,Cash,Light Mech Equipment,44.0,Redeemed,newcss,env
118,2023-09-07 04:25:35 PM,169408417106775,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230907084135,Abudhabi - 01,Abudhabi - 01,Cash,Light Mech Equipment,44.0,Redeemed,newcss,env
119,2023-09-07 04:01:59 PM,169408275557286,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI MUHAMMAD SHERAFGAN ZEESHAN,230907082719,Abudhabi - 01,Abudhabi - 01,Cash,Light Vehicle,22.0,Declined,newcss,env
120,2023-09-07 03:41:13 PM,169408150982645,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI MUHAMMAD SHERAFGAN ZEESHAN,230907081473,Abudhabi - 01,Abudhabi - 01,Cash,Light Vehicle,22.0,Declined,newcss,env
121,2023-09-07 12:59:34 PM,169407181023899,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230907071774,Abudhabi - 01,Abudhabi - 01,Cash,Light Mech Equipment,44.0,Reactivated,newcss,env
122,2023-09-07 02:24:43 PM,169407691980968,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230907076883,Abudhabi - 01,Abudhabi - 01,Cash,Light Mech Equipment,44.0,Reactivate Rejected,newcss,env
123,2023-09-07 02:26:37 PM,169407703431220,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI MUHAMMAD SHERAFGAN ZEESHAN,230907076997,Abudhabi - 01,Abudhabi - 01,Cash,Light Vehicle,22.0,Declined,newcss,env
124,2023-09-07 02:23:15 PM,169407683432278,MOHAMMED ALI,230907076795,Abudhabi - 01,,Cash,Heavy Mech Equipment,66.0,Cancelled,newcss,env
125,2023-09-07 02:12:03 PM,169407616023485,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI MUHAMMAD SHERAFGAN ZEESHAN,230907076123,Abudhabi - 01,Abudhabi - 01,Cash,Light Vehicle,22.0,Declined,newcss,env
126,2023-09-07 02:03:11 PM,169407562754738,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI MUHAMMAD SHERAFGAN ZEESHAN,230907075591,Abudhabi - 01,Abudhabi - 01,Cash,Light Vehicle,22.0,Declined,newcss,env
127,2023-09-07 02:00:30 PM,169407546669688,MOHAMMED ALI,230907075430,Abudhabi - 01,,Cash,Heavy Mech Equipment,66.0,Cancelled,newcss,env
128,2023-09-07 12:35:20 PM,162891465712647,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230907070320,Abudhabi - 01,,Cash,Motor Cycle,11.11,Cancelled,newcss,env
129,2023-09-07 12:31:37 PM,169407012941766,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI MUHAMMAD SHERAFGAN ZEESHAN,230907070097,Abudhabi - 01,Abudhabi - 01,Cash,Light Bus,33.0,Declined,newcss,env
130,2023-09-07 12:11:15 PM,169406891337809,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230907068875,Abudhabi - 01,Abudhabi - 01,Cash,Light Mech Equipment,44.0,Redeemed,newcss,env
131,2023-09-06 04:46:33 PM,567654567898543,MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI MUHAMMAD SHERAFGAN ZEESHAN ADIL ABDUL HAMEED ABBASI,230906998993,Abudhabi - 01,Abudhabi - 01,Online,Motor Cycle,11.11,Redeemed,newcss,env
132,2023-09-07 10:04:20 AM,169406129682205,MOHAMMED ALI,230907061260,Abudhabi - 01,,Cash,Heavy Mech Equipment,66.0,Cancelled,newcss,env
133,2023-09-07 10:42:58 AM,169406361248208,MOHAMMED ALI,230907063578,Abudhabi - 01,,Cash,Heavy Mech Equipment,66.0,Cancelled,newcss,env
134,2023-09-07 10:30:46 AM,169406288021207,MOHAMMED ALI,230907062846,Abudhabi - 01,,Cash,Heavy Mech Equipment,66.0,Cancelled,newcss,env
135,2023-09-07 10:06:29 AM,169406142581532,MOHAMMED ALI,230907061389,Abudhabi - 01,,Cash,Heavy Mech Equipment,66.0,Cancelled,newcss,env
136,2023-09-06 04:49:30 PM,169399920552556,MOHAMMED ALI,230906999170,Abudhabi - 01,,Cash,Heavy Mech Equipment,66.0,Cancelled,newcss,env
137,2023-09-06 04:52:24 PM,169399938014224,MOHAMMED ALI,230906999344,Abudhabi - 01,,Cash,Heavy Mech Equipment,66.0,Cancelled,newcss,env
138,2023-09-06 04:59:18 PM,169399978631902,MOHAMMED ALI,230906999758,Abudhabi - 01,,Cash,Heavy Mech Equipment,66.0,Cancelled,newcss,env
139,2023-09-06 04:35:55 PM,169399839011618,MOHAMMED ALI,230906998355,Abudhabi - 01,,Cash,Heavy Mech Equipment,66.0,Created,newcss,env
140,2023-09-06 04:31:22 PM,169399811074402,MOHAMMED ALI,230906998082,Abudhabi - 01,,Cash,Heavy Mech Equipment,66.0,Created,newcss,env
